Age,NOC,Sport
22.0,FRA,Rowing
25.0,GDR,Athletics
27.0,URS,Football
34.0,URS,Shooting
25.0,URS,Football
23.0,ITA,Sailing
31.0,HUN,Boxing
29.0,HUN,Fencing
29.0,HUN,Fencing
26.0,GDR,Wrestling
26.0,GDR,Boxing
17.0,GDR,Swimming
17.0,GDR,Swimming
19.0,HUN,Judo
20.0,GDR,Canoeing
21.0,ITA,Basketball
16.0,URS,Swimming
24.0,ITA,Athletics
26.0,HUN,Water Polo
31.0,HUN,Fencing
31.0,HUN,Fencing
33.0,GDR,Handball
24.0,GDR,Fencing
23.0,GDR,Athletics
16.0,GDR,Swimming
16.0,GDR,Swimming
16.0,GDR,Swimming
21.0,ITA,Cycling
21.0,ITA,Cycling
22.0,ITA,Shooting
23.0,HUN,Athletics
23.0,ITA,Basketball
25.0,GBR,Boxing
20.0,GBR,Boxing
21.0,IND,Hockey
29.0,AUS,Athletics
27.0,URS,Fencing
27.0,URS,Fencing
34.0,ITA,Shooting
26.0,URS,Hockey
15.0,GDR,Gymnastics
15.0,GDR,Gymnastics
15.0,GDR,Gymnastics
15.0,GDR,Gymnastics
15.0,GDR,Gymnastics
15.0,GDR,Gymnastics
23.0,GBR,Athletics
23.0,GBR,Athletics
27.0,AUS,Water Polo
20.0,GDR,Swimming
20.0,GDR,Swimming
20.0,GDR,Swimming
21.0,URS,Hockey
28.0,HUN,Boxing
24.0,GDR,Shooting
29.0,FRA,Athletics
23.0,GBR,Swimming
23.0,GBR,Swimming
23.0,GBR,Swimming
27.0,URS,Canoeing
22.0,URS,Hockey
16.0,URS,Swimming
16.0,URS,Swimming
22.0,URS,Swimming
35.0,ITA,Sailing
26.0,ITA,Basketball
19.0,HUN,Shooting
28.0,URS,Athletics
19.0,GDR,Swimming
19.0,GDR,Swimming
19.0,GDR,Swimming
27.0,FRA,Athletics
23.0,ITA,Boxing
21.0,GBR,Swimming
21.0,GBR,Swimming
21.0,GBR,Swimming
23.0,GBR,Athletics
27.0,ITA,Volleyball
25.0,GDR,Rowing
24.0,URS,Athletics
25.0,ITA,Athletics
18.0,URS,Swimming
18.0,URS,Swimming
18.0,URS,Swimming
20.0,URS,Water Polo
21.0,ITA,Basketball
24.0,HUN,Equestrianism
24.0,HUN,Equestrianism
20.0,GDR,Athletics
27.0,GDR,Handball
25.0,PRK,Boxing
29.0,HUN,Handball
18.0,HUN,Gymnastics
18.0,HUN,Gymnastics
18.0,HUN,Gymnastics
18.0,HUN,Gymnastics
18.0,HUN,Gymnastics
18.0,HUN,Gymnastics
18.0,HUN,Gymnastics
18.0,HUN,Gymnastics
24.0,HUN,Basketball
19.0,HUN,Basketball
31.0,HUN,Basketball
20.0,URS,Athletics
23.0,IND,Basketball
21.0,URS,Hockey
25.0,URS,Hockey
23.0,GDR,Diving
28.0,GDR,Fencing
24.0,ITA,Basketball
21.0,HUN,Judo
24.0,HUN,Rowing
29.0,GDR,Sailing
22.0,GBR,Athletics
25.0,AUS,Athletics
27.0,GDR,Fencing
27.0,GDR,Fencing
20.0,URS,Boxing
21.0,HUN,Cycling
21.0,HUN,Cycling
19.0,HUN,Cycling
19.0,HUN,Cycling
24.0,URS,Diving
21.0,JAM,Athletics
36.0,HUN,Fencing
22.0,PRK,Gymnastics
22.0,PRK,Gymnastics
22.0,PRK,Gymnastics
22.0,PRK,Gymnastics
22.0,PRK,Gymnastics
22.0,PRK,Gymnastics
22.0,PRK,Gymnastics
22.0,PRK,Gymnastics
26.0,PRK,Weightlifting
20.0,PRK,Shooting
23.0,GBR,Canoeing
24.0,AUS,Rowing
23.0,GBR,Rowing
29.0,GDR,Athletics
21.0,GBR,Boxing
15.0,HUN,Gymnastics
15.0,HUN,Gymnastics
15.0,HUN,Gymnastics
15.0,HUN,Gymnastics
15.0,HUN,Gymnastics
15.0,HUN,Gymnastics
27.0,AUS,Rowing
24.0,HUN,Swimming
23.0,GBR,Fencing
23.0,GBR,Fencing
24.0,GBR,Archery
25.0,GDR,Cycling
32.0,GDR,Shooting
24.0,GDR,Football
28.0,HUN,Water Polo
20.0,URS,Hockey
19.0,GBR,Athletics
25.0,GDR,Shooting
25.0,GDR,Shooting
19.0,GDR,Volleyball
21.0,GDR,Athletics
23.0,GDR,Handball
25.0,GDR,Judo
24.0,GDR,Shooting
23.0,GDR,Canoeing
23.0,GDR,Canoeing
23.0,GDR,Canoeing
21.0,GDR,Gymnastics
21.0,GDR,Gymnastics
21.0,GDR,Gymnastics
21.0,GDR,Gymnastics
21.0,GDR,Gymnastics
21.0,GDR,Gymnastics
21.0,GDR,Gymnastics
21.0,GDR,Gymnastics
21.0,GDR,Canoeing
25.0,GDR,Weightlifting
20.0,GDR,Rowing
29.0,HUN,Athletics
22.0,GBR,Cycling
25.0,GDR,Fencing
25.0,GDR,Fencing
24.0,FRA,Canoeing
21.0,GDR,Cycling
